Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
39,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,0
40,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,0
41,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
42,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,2
43,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,43,Municipal Services,City provides services to/supports the transgender community,City,NA,0
44,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,0
45,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
46,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,0
47,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,0
48,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
49,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al-3,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
50,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,0
51,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,2,Non-Discrimination Laws,Employment,State,Gender Identity,0
52,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
53,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
54,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,5
55,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,6,Non-Discrimination Laws,Employment,City,Gender Identity,5
56,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
57,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
58,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
59,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
60,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,5
61,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,12,Non-Discrimination Laws,Housing,City,Gender Identity,5
62,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
